row,column,criterion,cell_glb_filename,objaverse_index,object_uid,gobjaverse_index,category_label,caption,criterion_vlm_score,criterion_human_score
1,1,geometry,row01_geometry_col01_e29c73b064b54e8e918eb232afdba2e3.glb,000-134/e29c73b064b54e8e918eb232afdba2e3.glb,e29c73b064b54e8e918eb232afdba2e3,134/684392,Poor-quality,a girl in a pink dress holding a sword and a bow and arrow.,4.4,4.4286
1,2,geometry,row01_geometry_col02_1a5d97ef77004074a6b4277cd7e43200.glb,000-130/1a5d97ef77004074a6b4277cd7e43200.glb,1a5d97ef77004074a6b4277cd7e43200,130/660535,Animals,a small yellow and white striped fish.,4.0,4.1429
1,3,geometry,row01_geometry_col03_31aa0fb227cb47b1897084a9d23aa10f.glb,000-070/31aa0fb227cb47b1897084a9d23aa10f.glb,31aa0fb227cb47b1897084a9d23aa10f,70/360997,Human-Shape,"a blue alien skeleton with a long neck, horn on its head, and octopus-like features.",3.4,3.4286
1,4,geometry,row01_geometry_col04_fe30c40ab1c540e4bf7df070677c9ed0.glb,000-138/fe30c40ab1c540e4bf7df070677c9ed0.glb,fe30c40ab1c540e4bf7df070677c9ed0,138/704965,Poor-quality,"a damaged room featuring a torn-up kitchen, broken roof, destroyed desk, and damaged plane.",2.4,2.4286
1,5,geometry,row01_geometry_col05_129bda0773c24a0e8c911c0b3de4d4cf.glb,000-139/129bda0773c24a0e8c911c0b3de4d4cf.glb,129bda0773c24a0e8c911c0b3de4d4cf,139/705348,Daily-Used,White sphere,1.4,1.5714
2,1,texture,row02_texture_col01_82853aa100d64d9d89f85367cf976212.glb,000-068/82853aa100d64d9d89f85367cf976212.glb,82853aa100d64d9d89f85367cf976212,68/352575,Transportations,a tan helicopter flying in the sky.,4.6,4.6429
2,2,texture,row02_texture_col02_58ca59e3404f41f8981a90c0c8257ddd.glb,000-096/58ca59e3404f41f8981a90c0c8257ddd.glb,58ca59e3404f41f8981a90c0c8257ddd,96/491732,Transportations,"Futuristic hexagonal-shaped module with dual cylindrical protrusions, featuring recessed panels, industrial details, and illuminated accents in shades of gray, olive, and cyan.",4.4,4.3571
2,3,texture,row02_texture_col03_08b47d2396d543f59d80a56350247815.glb,000-036/08b47d2396d543f59d80a56350247815.glb,08b47d2396d543f59d80a56350247815,36/190175,Electronics,a yellow and black handheld electrical tester with a cord and wires attached to it.,4.2,4.2143
2,4,texture,row02_texture_col04_933bb241a1674802bc62487ecc7fce22.glb,000-044/933bb241a1674802bc62487ecc7fce22.glb,933bb241a1674802bc62487ecc7fce22,44/232903,Furnitures,"a pink chair with a curved backrest, a bow, and a cloth draped over it.",2.2,2.1429
2,5,texture,row02_texture_col05_67f185a2e7984a8494b4d8cfdfe46c5f.glb,000-143/67f185a2e7984a8494b4d8cfdfe46c5f.glb,67f185a2e7984a8494b4d8cfdfe46c5f,143/726957,Animals,"Monochromatic, stylized dragon with geometric detailing and fragmented wings.",1.0,1.0
3,1,material,row03_material_col01_8454de95163d47e9a3a9863c1c8d9db1.glb,000-051/8454de95163d47e9a3a9863c1c8d9db1.glb,8454de95163d47e9a3a9863c1c8d9db1,51/267596,Electronics,a green military ammo box with the words '200 cartridges' on it.,4.4,4.2143
3,2,material,row03_material_col02_3d53925857e945168a669642e68495a2.glb,000-086/3d53925857e945168a669642e68495a2.glb,3d53925857e945168a669642e68495a2,86/441147,Electronics,a red and black computer mouse with a red stripe and accents.,3.6,3.6429
3,3,material,row03_material_col03_c1966bbf8a0f41ef8dd215b4d79ef91a.glb,000-113/c1966bbf8a0f41ef8dd215b4d79ef91a.glb,c1966bbf8a0f41ef8dd215b4d79ef91a,113/578766,Poor-quality,a small wooden table with stairs and a white top.,2.8,3.1429
3,4,material,row03_material_col04_b3f0b047fd714ba79ce7f824e7569fb1.glb,000-075/b3f0b047fd714ba79ce7f824e7569fb1.glb,b3f0b047fd714ba79ce7f824e7569fb1,75/404651,Furniture,A green rectangular table with four legs.,1.8,2.2143
3,5,material,row03_material_col05_91ccfcd171934ee2a8b7029a15a82cbb.glb,000-104/91ccfcd171934ee2a8b7029a15a82cbb.glb,91ccfcd171934ee2a8b7029a15a82cbb,104/532836,Furnitures,a green plastic chair with a white base and black armrest.,1.4,1.4286
4,1,plausibility,row04_plausibility_col01_3d53925857e945168a669642e68495a2.glb,000-086/3d53925857e945168a669642e68495a2.glb,3d53925857e945168a669642e68495a2,86/441147,Electronics,a red and black computer mouse with a red stripe and accents.,4.2,4.2143
4,2,plausibility,row04_plausibility_col02_bdbcd6b795514f2d9143d7c90c9813dd.glb,000-155/bdbcd6b795514f2d9143d7c90c9813dd.glb,bdbcd6b795514f2d9143d7c90c9813dd,155/788706,Buildings&&Outdoor,"and gold sarcophagus with a white gold handle, sword, and cross, displayed on a white marble podium with gold trim.",3.6,3.5714
4,3,plausibility,row04_plausibility_col03_dcd8563eed2d42d09798991f93284809.glb,000-010/dcd8563eed2d42d09798991f93284809.glb,dcd8563eed2d42d09798991f93284809,10/153993,Furnitures,A white chair with simple curved arms and a sled base.,3.0,3.2143
4,4,plausibility,row04_plausibility_col04_b58eae605aec4809af4d4018bc1c5920.glb,000-011/b58eae605aec4809af4d4018bc1c5920.glb,b58eae605aec4809af4d4018bc1c5920,11/68508,Human-Shape,a person in blue armor with arms outstretched.,2.8,2.7857
4,5,plausibility,row04_plausibility_col05_466e5c4e87c54fb2b4a89775eca752f4.glb,000-074/466e5c4e87c54fb2b4a89775eca752f4.glb,466e5c4e87c54fb2b4a89775eca752f4,74/381378,Poor-quality,"a small white cube with a window, resembling a house.",2.0,2.0
5,1,artifacts,row05_artifacts_col01_e6169f3f5d0e43c0ba3a0a4b54f191dd.glb,000-050/e6169f3f5d0e43c0ba3a0a4b54f191dd.glb,e6169f3f5d0e43c0ba3a0a4b54f191dd,50/264467,Plants,a marijuana plant in a wooden pot,4.4,4.4286
5,2,artifacts,row05_artifacts_col02_25c7f09174404bb899e4a7aea6d20957.glb,000-098/25c7f09174404bb899e4a7aea6d20957.glb,25c7f09174404bb899e4a7aea6d20957,98/500725,Animals,sculpture of a sitting primate with hands on its head.,4.2,4.2143
5,3,artifacts,row05_artifacts_col03_bdbcd6b795514f2d9143d7c90c9813dd.glb,000-155/bdbcd6b795514f2d9143d7c90c9813dd.glb,bdbcd6b795514f2d9143d7c90c9813dd,155/788706,Buildings&&Outdoor,"and gold sarcophagus with a white gold handle, sword, and cross, displayed on a white marble podium with gold trim.",4.0,4.0714
5,4,artifacts,row05_artifacts_col04_4c2a8438b33c4f2f80b282dd9d759b46.glb,000-067/4c2a8438b33c4f2f80b282dd9d759b46.glb,4c2a8438b33c4f2f80b282dd9d759b46,67/346484,Daily-Used,"A small purple plastic box with holes, functioning as a holder or cover.",3.6,3.6429
5,5,artifacts,row05_artifacts_col05_7579dc78e87248338992efb62bc953f1.glb,000-142/7579dc78e87248338992efb62bc953f1.glb,7579dc78e87248338992efb62bc953f1,142/722277,Transportations,White racing car model,3.4,3.4286
6,1,preference,row06_preference_col01_f2730dc7ef804082893d6e5254b9d5ad.glb,000-108/f2730dc7ef804082893d6e5254b9d5ad.glb,f2730dc7ef804082893d6e5254b9d5ad,108/554714,Human-Shape,Princess Peach,4.6,4.4286
6,2,preference,row06_preference_col02_1a5d97ef77004074a6b4277cd7e43200.glb,000-130/1a5d97ef77004074a6b4277cd7e43200.glb,1a5d97ef77004074a6b4277cd7e43200,130/660535,Animals,a small yellow and white striped fish.,3.4,3.4286
6,3,preference,row06_preference_col03_9eb2b87398c042849377f59b0b15db51.glb,000-159/9eb2b87398c042849377f59b0b15db51.glb,9eb2b87398c042849377f59b0b15db51,159/807351,Food,"a tray with food, drink, and popcorn on a checkered table.",3.0,2.9286
6,4,preference,row06_preference_col04_2883fb5c14fc44d981be18fc5ee05bed.glb,000-145/2883fb5c14fc44d981be18fc5ee05bed.glb,2883fb5c14fc44d981be18fc5ee05bed,145/735804,Food,a pink birthday cake with three candles and 'Happy Birthday' written on it.,2.8,2.8571
6,5,preference,row06_preference_col05_9410440a48e647e49a90f4051777d3a9.glb,000-127/9410440a48e647e49a90f4051777d3a9.glb,9410440a48e647e49a90f4051777d3a9,127/647847,Daily-Used,a white shelf with plastic trim and molding.,1.6,1.4286
